mission	snapshot	source_commit	source_path	source_blob	destination	content_status
11	master	09356a2	Premiere Pro/A11 Timeline Reconstruction_retimed_3_1_1_1.prproj	d87a755671ee2eb22d0c067a61d3c772c9ddec6a	mission-data/11/Premiere Pro/A11 Timeline Reconstruction_retimed_3_1_1_1.prproj	exact
11	master	09356a2	Premiere Pro/A11 Timeline Reconstruction_retimed_frommac.prproj	4104cf0232fe88d932de39760cc644ccd5f39bb7	mission-data/11/Premiere Pro/A11 Timeline Reconstruction_retimed_frommac.prproj	exact
11	master	09356a2	Premiere Pro/A11 Timeline Reconstruction_retimed_frommac~recover.prproj	934da0ef5bf3d43f92bbb5727374c0ca866cea23	mission-data/11/Premiere Pro/A11 Timeline Reconstruction_retimed_frommac~recover.prproj	exact
11	master	09356a2	Premiere Pro/A11 Timeline Reconstruction_retimed~263c5698-7669-426d-a756-8bcb411c9622.prproj	0c2548e6f35c7b90b951d1ece03e70d3448e25a5	mission-data/11/Premiere Pro/A11 Timeline Reconstruction_retimed~263c5698-7669-426d-a756-8bcb411c9622.prproj	exact
11	master	09356a2	Premiere Pro/disposable.prproj	ceae712e1a1c65fa61b0a2f7674935ba6e0c9d98	mission-data/11/Premiere Pro/disposable.prproj	exact
11	master	09356a2	Premiere Pro/MOCR_Recovery.prproj	33a78533513cf8cf9067641e20fa871e70e66b31	mission-data/11/Premiere Pro/MOCR_Recovery.prproj	exact
11	master	09356a2	Premiere Pro/Untitled.prproj	afebe6b1ddaefafd8cdb871c3bd666877a07385e	mission-data/11/Premiere Pro/Untitled.prproj	exact
11	master	09356a2	scripts/data/scrape_alsj_image_page_cleaned_page_data.html	7b2b0c76dbcd27ee12e47af6dc11c32bdbac9dda	mission-data/11/scripts/data/scrape_alsj_image_page_cleaned_page_data.html	exact
11	master	09356a2	scripts/filelist.txt	80a21231e20b807c357a0c397132dd41e243da0f	mission-data/11/scripts/filelist.txt	exact
11	master	09356a2	scripts/flickr_photo_urls.csv	bf8e1ff14bd8bbda5891609065638dc61f9f2ec6	mission-data/11/scripts/flickr_photo_urls.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10001.csv	bf742f6d336e46c70a2758cbac31f492631cbb36	mission-data/11/scripts/papers/ads_papers/10001.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10002.csv	824e41a921b0f5d27447c0f83596439d62a98b46	mission-data/11/scripts/papers/ads_papers/10002.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10003.csv	bbfd51c836f65236996cab66e574283512a64f3c	mission-data/11/scripts/papers/ads_papers/10003.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10004.csv	af976c4356850463d23b07335bf7667c026a5b18	mission-data/11/scripts/papers/ads_papers/10004.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10005.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10005.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10008.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10008.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10009.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10009.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10010.csv	199dcb8fc3d92e1e35fde2907499bffcd9866c52	mission-data/11/scripts/papers/ads_papers/10010.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10011.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10011.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10014.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10014.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10015.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10015.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10017.csv	24e020758e2fc684003056a5e43aca1dcf35577b	mission-data/11/scripts/papers/ads_papers/10017.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10018.csv	6dbdbe269ed6ef6feb360dd04fa5dac8139c0e1f	mission-data/11/scripts/papers/ads_papers/10018.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10019.csv	97fd5288822040f9c3c49e63484555262a7304cc	mission-data/11/scripts/papers/ads_papers/10019.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10020.csv	f011f9665977b2a7c85a4c587fb98dda0ba30c7c	mission-data/11/scripts/papers/ads_papers/10020.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10021.csv	859c133326c94d222fe669a55374638b5021505a	mission-data/11/scripts/papers/ads_papers/10021.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10022.csv	16d06a4b929f83f9c6fdb7e53cbba8b46a10349d	mission-data/11/scripts/papers/ads_papers/10022.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10023.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10023.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10024.csv	67263fb546df12a60749749884602dfa356af7a0	mission-data/11/scripts/papers/ads_papers/10024.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10025.csv	b83991ba2c4c1aae60159cd4683ace6d1960f4d1	mission-data/11/scripts/papers/ads_papers/10025.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10026.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10026.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10027.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10027.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10028.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10028.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10029.csv	4ed7492ead4efb42839cd562d1077602f691d369	mission-data/11/scripts/papers/ads_papers/10029.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10030.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10030.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10031.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10031.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10032.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10032.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10033.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10033.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10044.csv	45b81f379135e3c86bbceaadc02bdfb5b93f5812	mission-data/11/scripts/papers/ads_papers/10044.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10045.csv	fd72549bac7780a9e38f18f00f0844bcf9d53618	mission-data/11/scripts/papers/ads_papers/10045.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10046.csv	3095d1335708367ad25f445ccefa615fc75e5e89	mission-data/11/scripts/papers/ads_papers/10046.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10047.csv	2d30501f1dc4f3914ec0a1eb5fccfe678771def0	mission-data/11/scripts/papers/ads_papers/10047.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10048.csv	6e1d420aaa24882e0b3c78156e688891c4ccaaa3	mission-data/11/scripts/papers/ads_papers/10048.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10049.csv	7b179355a5248d6cc039af8e1e76fead4aec0d1a	mission-data/11/scripts/papers/ads_papers/10049.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10050.csv	300e5eca18153d2bbd6debc3019b393e44f7eb0a	mission-data/11/scripts/papers/ads_papers/10050.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10054.csv	1d87b7750c59ebc7ea7b918163216f9661b44e1d	mission-data/11/scripts/papers/ads_papers/10054.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10056.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10056.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10057.csv	e79ccd01c849745da8f9d96f78eb9446476ff30a	mission-data/11/scripts/papers/ads_papers/10057.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10058.csv	2f2a192e2265130578f9c4ff901f6037542fc72b	mission-data/11/scripts/papers/ads_papers/10058.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10059.csv	503ad58c8a21ce76054089a14254c1da377ad0f4	mission-data/11/scripts/papers/ads_papers/10059.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10060.csv	0cfedd172a3c9159e0c6f2d6ecc5cd5ed4e62985	mission-data/11/scripts/papers/ads_papers/10060.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10061.csv	503ad58c8a21ce76054089a14254c1da377ad0f4	mission-data/11/scripts/papers/ads_papers/10061.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10062.csv	fa6e6272f86db11801ccf422850c6491502bc94c	mission-data/11/scripts/papers/ads_papers/10062.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10063.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10063.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10064.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10064.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10065.csv	333f84d5a42e1834d14407024e7a78c61063d77f	mission-data/11/scripts/papers/ads_papers/10065.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10066.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10066.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10067.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10067.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10068.csv	05f7d8a715fa8eab97d2f2c8528fada21a99e928	mission-data/11/scripts/papers/ads_papers/10068.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10069.csv	9f9fca5f649b61db0fe66ef8ed598c3745d5da55	mission-data/11/scripts/papers/ads_papers/10069.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10070.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10070.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10071.csv	b04429d71faddccd7dd5e822c3dfc8e98c9330c5	mission-data/11/scripts/papers/ads_papers/10071.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10072.csv	229824d2f133b7a2106c4ff1c45f77876e60f8f0	mission-data/11/scripts/papers/ads_papers/10072.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10073.csv	9e7f7af32a9987c01df14eb33fef8672f88ddba4	mission-data/11/scripts/papers/ads_papers/10073.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10074.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10074.csv	exact
11	master	09356a2	scripts/papers/ads_papers/10075.csv	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	mission-data/11/scripts/papers/ads_papers/10075.csv	exact
