|1984|Petrology of Apollo 11 regolith breccias|Simon, S. B., Papike, J. J., and Shearer, C. K.|Journal of Geophysical Research|89 (S01)||C109-C132||http://dx.doi.org/10.1029/JB089iS01p0C108
|1981|Apollo 11 breccias and soils: Aluminous mare basalts or multi-component mixtures?|Rhodes, J. M. and Blanchard, D. P.|Proceedings of the 12th Lunar and Planetary Science Conference|nan||607-620 ||nan
|1972|On the remanent magnetization of lunar samples with special reference to 10048,55 and 14053,48|Dunn, J. R. and Fuller, M.|Proceedings of the 3rd Lunar Science Conference|nan||2363-2386 ||nan
|1970|Magnetic properties of Apollo 11 sample 10048,22|Larochelle, A. and Schwarz, E. J.|Proceedings of the Apollo 11 Lunar Science Conference|nan||2305-2308 ||nan
|1970|Semimicro Chemical and X-ray Fluorescence Analysis of Lunar Samples|Rose, H. J., Jr., Cuttitta, F., Dwornik, E. J., Carron, M. K., Christian, R. P., Lindsay, J. R., Ligon, D. T., and Larson, R. R.|Science|167 (3918)||520-521||http://dx.doi.org/10.1126/science.167.3918.520
