|1984|Cosmic ray exposure histories and 235U-136Xe dating of Apollo 11, Apollo 12, and Apollo 17 mare basalts|Eugster, O., Eberhardt, P., Geiss, J., Grögler, N., and Schwaller, H.|Journal of Geophysical Research|89||C171-C181 ||nan
|1977|Compositions of lunar basalts 10069, 10071 and 12008. |Jarosewich, E. and Mason, B.|Lunar Sample Studies|nan||nan||nan
|1971|Noble gas abundances in lunar material-cosmic ray spallation products and radiation ages from the Sea of Tranquility and the Ocean of Storms|Bogard, D. D., Funkhouser, J. G., Schaeffer, O. A., and Zahringer, J.|Journal of Geophysical Research|76 (11)||2757-2779||http://dx.doi.org/10.1029/JB076i011p02757
|1970|Correlation between rock type and irradiation history of Apollo 11 igneous rocks|Eberhardt, P., Geiss, J., Graf, H., Grogler, N., Krahenbuhl, U., Schwaller, H., Schwarzmuller, J., and Stettler, A.|Earth and Planetary Science Letters|10 (1)||67-72||http://dx.doi.org/10.1016/0012-821X(70)90065-8
|1970|The isotopic composition of Gd and the neutron capture effects in samples from Apollo 11|Eugster, O., Tera, F., Burnett, D. S., and Wasserburg, G. J.|Earth and Planetary Science Letters|8 (1)||20-30||http://dx.doi.org/10.1016/0012-821X(70)90094-4
|1970|Magnetic properties of lunar samples 10022, 10069, 10084 and 10085|Helsley, C. E.|Proceedings of the Apollo 11 Lunar Science Conference|nan||2213-2219 ||nan
