|2008|Pb/Pb geochronology, petrography and chemistry of Zr-rich accessory minerals (zirconolite, tranquillityite and baddeleyite) in mare basalt 10047|Rasmussen, B., Fletcher, I. R., and Muhling, J. R.|Geochimica et Cosmochimica Acta|72||5799-5818 ||nan
|1984|Cosmic ray exposure histories and 235U-136Xe dating of Apollo 11, Apollo 12, and Apollo 17 mare basalts|Eugster, O., Eberhardt, P., Geiss, J., Grögler, N., and Schwaller, H.|Journal of Geophysical Research|89||C171-C181 ||nan
|1980|Chemistry of Apollo 11 low-K mare basalts|Rhodes, J. M. and Blanchard, D. P.|Proceedings of the 11th Lunar and Planetary Science Conference|nan||49-66 ||nan
|1979|Classification of the Apollo-11 basalts according to Ar39-Ar40 ages and petrological properties|Guggisberg, S., Eberhardt, P., Geiss, J., Grogler, N., Stettler, A., Brown, G. M., and Peckett, A.|Proceedings of the 10th Lunar and Planetary Science Conference|nan||1-39 ||nan
|1974|Lunar monazite: A late-stage (mesostasis) phase in mare basalt|Lovering, J. F., Wark, D. A., Gleadow, A. J. W., and Britten, R.|Earth and Planetary Science Letters|21 (2)||164-168||http://dx.doi.org/10.1016/0012-821X(74)90050-8
|1971|Noble gas abundances in lunar material-cosmic ray spallation products and radiation ages from the Sea of Tranquility and the Ocean of Storms|Bogard, D. D., Funkhouser, J. G., Schaeffer, O. A., and Zahringer, J.|Journal of Geophysical Research|76 (11)||2757-2779||http://dx.doi.org/10.1029/JB076i011p02757
|1970|Rubidium-strontium chronology and chemistry of lunar material|Compston, W., Arriens, P. A., Vernon, M. J., and Chappell, B. W.|Science|167 (3918)||474-476||http://dx.doi.org/10.1126/science.167.3918.474
|1970|The chemistry and age of Apollo 11 lunar material|Compston, W., Chappell, B. W., Arriens, P. A., and Vernon, M. J.|Proceedings of the Apollo 11 Lunar Science Conference|nan||1007-1027 ||nan
|1970|Correlation between rock type and irradiation history of Apollo 11 igneous rocks|Eberhardt, P., Geiss, J., Graf, H., Grogler, N., Krahenbuhl, U., Schwaller, H., Schwarzmuller, J., and Stettler, A.|Earth and Planetary Science Letters|10 (1)||67-72||http://dx.doi.org/10.1016/0012-821X(70)90065-8
|1970|Semimicro Chemical and X-ray Fluorescence Analysis of Lunar Samples|Rose, H. J., Jr., Cuttitta, F., Dwornik, E. J., Carron, M. K., Christian, R. P., Lindsay, J. R., Ligon, D. T., and Larson, R. R.|Science|167 (3918)||520-521||http://dx.doi.org/10.1126/science.167.3918.520
