|1980|Chemistry of Apollo 11 low-K mare basalts|Rhodes, J. M. and Blanchard, D. P.|Proceedings of the 11th Lunar and Planetary Science Conference|nan||49-66 ||nan
|1977|Compositions of lunar basalts 10069, 10071 and 12008. |Jarosewich, E. and Mason, B.|Lunar Sample Studies|nan||nan||nan
|1974|Noble gas investigations of lunar rocks 10017 and 10071|Eberhardt, P., Geiss, J., Graf, H., Grogler, N., Krahenbuhl, U., Schwaller, H., and Stettler, A.|Geochimica et Cosmochimica Acta|38||97-120 ||nan
|1971|Noble gas abundances in lunar material-cosmic ray spallation products and radiation ages from the Sea of Tranquility and the Ocean of Storms|Bogard, D. D., Funkhouser, J. G., Schaeffer, O. A., and Zahringer, J.|Journal of Geophysical Research|76 (11)||2757-2779||http://dx.doi.org/10.1029/JB076i011p02757
|1971|Petrology of Apollo 11 sample 10071. A differentiated mini-igneous complex|Drake, M. J. and Weill, D. F.|Earth and Planetary Science Letters|13||61-70 ||nan
|1970|Correlation between rock type and irradiation history of Apollo 11 igneous rocks|Eberhardt, P., Geiss, J., Graf, H., Grogler, N., Krahenbuhl, U., Schwaller, H., Schwarzmuller, J., and Stettler, A.|Earth and Planetary Science Letters|10 (1)||67-72||http://dx.doi.org/10.1016/0012-821X(70)90065-8
|1970|The isotopic composition of Gd and the neutron capture effects in samples from Apollo 11|Eugster, O., Tera, F., Burnett, D. S., and Wasserburg, G. J.|Earth and Planetary Science Letters|8 (1)||20-30||http://dx.doi.org/10.1016/0012-821X(70)90094-4
|1970|Chemical composition and petrogenesis of basalts from Tranquillity Base|Gast, P. W., Hubbard, N. J., and Wiesmann, H.|Proceedings of the Apollo 11 Lunar Science Conference|nan||1143-1163 ||nan
