|2000|A status report on the consortium study of regolith breccia 10068 (abs#1941)|Basu, A., Bogard, D. D., Garrison, D. H., Lauer, H. V., Lindstrom, D. J., McKay, D. S., Morris, R. V., Pieters, C. M., and Wentworth, S. J.|Proceedings of the 31st Lunar and Planetary Science Conference, |nan||nan||nan
|1999|Petrology of disaggregated products of regolith breccia 10068 (abs)|Basu, A., Wentworth, S. J., and McKay, D. S.|Proceedings of the 30th Lunar and Planetary Science Conference, |nan||nan||nan
