|1980|Thermal diffusivity of two Apollo 11 samples, 10020,44 and 10065,23: Effect of petrofabrics on the thermal conductivity of porous lunar rocks under vacuum|Horai, K. and Winkler, J. L.|Proceedings of the 11th Lunar and Planetary Science Conference|nan||1777-1788 ||nan
|1980|Chemistry of Apollo 11 low-K mare basalts|Rhodes, J. M. and Blanchard, D. P.|Proceedings of the 11th Lunar and Planetary Science Conference|nan||49-66 ||nan
|1977|Paleointensity estimates from lunar samples 10017 and 10020|Stephenson, A., Runcorn, S. K., and Collinson, D. W.|Proceedings of the 8th Lunar Science Conference|nan||679-687 ||nan
|1974|Plagioclase saturation in lunar high-Titanium basalt|O'Hara, M. J., Biggar, G. M., Hill, P. G., Jefferies, B., and Humphries, D. J.|Earth and Planetary Science Letters|21||253-268 ||nan
|1971|Noble gas abundances in lunar material-cosmic ray spallation products and radiation ages from the Sea of Tranquility and the Ocean of Storms|Bogard, D. D., Funkhouser, J. G., Schaeffer, O. A., and Zahringer, J.|Journal of Geophysical Research|76 (11)||2757-2779||http://dx.doi.org/10.1029/JB076i011p02757
|1970|Correlation between rock type and irradiation history of Apollo 11 igneous rocks|Eberhardt, P., Geiss, J., Graf, H., Grogler, N., Krahenbuhl, U., Schwaller, H., Schwarzmuller, J., and Stettler, A.|Earth and Planetary Science Letters|10 (1)||67-72||http://dx.doi.org/10.1016/0012-821X(70)90065-8
|1970|Chemical composition and petrogenesis of basalts from Tranquillity Base|Gast, P. W., Hubbard, N. J., and Wiesmann, H.|Proceedings of the Apollo 11 Lunar Science Conference|nan||1143-1163 ||nan
|1970|Chemical composition of Apollo 11 lunar samples 10017, 10020, 10072, and 10084|Maxwell, J. A., Peck, L. C., and Wiik, H. B.|Proceedings of the Apollo 11 Lunar Science Conference|nan||1369-1374 ||nan
|1970|Chemical analyses of lunar samples 10017, 10072, and 10084|Wiik, H. B. and Ojanpera, P.|Science|167 (3918)||531-532||http://dx.doi.org/10.1126/science.167.3918.531
