|1997|New basalts at Mare Tranquilitatis: A sortie for pristine rocks in soil 10085 (abs#1498)|Snyder, G. A., Taylor, L. A., and Jerde, E. A.|Proceedings of the 28th Lunar and Planetary Science Conference, |nan||nan||nan
|1970|Magnetic properties of lunar samples 10022, 10069, 10084 and 10085|Helsley, C. E.|Proceedings of the Apollo 11 Lunar Science Conference|nan||2213-2219 ||nan
