112:01:51|2|FD - "last pad"
112:56:30|2|Engine ARM circuit breaker broken
114:00:04|2|Slayton jokes with crew
114:06:16|1|Columbia Sleep Period Start
114:18:49|2|Armstrong "can't get away with anything anymore"
114:22:24|2|McCandless congratulates Neil and Buzz on behalf of the world
114:33:07|2|Observation questions to the surface crew
114:52:58|1|Tranquility Base Sleep Period Start
120:59:08|1|Columbia Wake-up
121:40:40|1|Tranquility Base Wake-up
121:40:52|2|Crew describes where they slept
123:07:53|2|Jim Lovell calls Columbia and Eagle
123:10:33|2|Armstrong gives geology observations from question the night before
124:22:04|1|Ascent from Lunar surface
125:10:23|2|Armstrong: "First time we've ever agreed on anything."
125:19:50|2|Rendezvous burn
127:22:34|2|Collins jokes about docking
128:00:52|1|Docked with Command Module
129:04:08|2|Bathroom humour
129:05:27|2|Transferring lunar samples to CM
129:12:16|2|Bathroom humour
129:12:58|2|Look in the lunar sample container
130:09:14|1|LM jettison
130:48:49|2|Duke askes Collins what it's like to have company
130:49:23|2|NY Times uses largest headline text in history
130:50:10|2|Deke jokes with Collins
132:16:02|2|News report: Telegrams, cosmonauts, Goddard, wives, sports
133:39:54|2|Collins excited about the success of the mission
135:05:22|2|Collins complains about computer interface layout
135:06:40|2|Crew tripple checking TEI numbers
135:09:42|2|Collins and Aldrin run through TEI burn checklist
135:14:24|2|Armstrong jokes about 'going forward'
135:21:17|2|2 minutes to TEI. Collins thinks horizon check is going to be perfect
135:23:36|1|Trans-Earth Injection (TEI)
135:27:46|2|Collins loves the SPS engine
135:29:57|2|Collins teases Aldrin about VERB 83
135:31:34|2|Collins says he's wasting film
135:32:14|2|Collins choosing film type
136:01:52|2|Press conference starts
136:52:45|2|Slayton contratulates the crew
137:17:03|2|Questions for the EVA crew
138:08:26|1|Crew Sleep Period Start
147:47:11|1|Crew Wake-up
148:07:42|2|Collins teasing Bill Shaffer
148:22:48|2|News report: President, Luna 15, weather, sports
148:43:48|2|Apollo 11 affects Dow Jones
148:45:29|2|Collins describes docking
151:33:58|2|CAPCOM tries to determine landing location
151:41:26|2|Armstrong describes his visit to Little West Crater
151:53:38|2|Loss of communications with Apollo 11
152:17:12|2|Attempt to reacquire communications with Apollo 11
152:43:48|2|Communications reestablished
152:48:28|2|Collins: Earth getting larger, Moon getting smaller
153:45:41|2|White Team comes on shift relieving Green Team
153:53:02|2|Crew plays a prank on Mission Control
155:35:51|2|Moonstruck Canadian
155:36:39|2|Video: TV transmission starts - Duke mistakes the Moon for Earth
155:40:31|2|Armstrong shows the sample return containers
155:47:02|2|Aldrin demonstrates gyroscope principles
155:48:45|2|Collins demonstrates water in zero g
156:07:20|2|Collins asks for evening news
157:03:55|2|News report: Nixon predicts visiting other planets within 31 years
157:06:11|2|Duke jokes about drinking milk from spoons
157:53:39|2|Aldrin exercises and surprises flight surgeon
157:56:34|2|Collins jokes about how "busy" the White Team is
157:59:29|2|Music: Lunar Rhapsody - Les Baxter (Music Out Of The Moon)
158:20:42|2|PTC malfunction explained by Duke
160:04:59|1|Crew sleep period starts
166:11:54|2|Flight controllers asking each other for matches
169:28:05|2|PAO describes child helping to repair Guam tracking antenna
170:59:58|1|Crew wake-up
171:53:48|2|Garriot reads recovery area weather report
173:35:31|2|News report: Spain, Tax, South Korea, West coast lights for Apollo
173:37:59|2|Module McGee
173:39:36|2|Buzz wants to know when his lawn was last cut
173:40:37|2|Garriot calls Aldrin household to ask about the lawn
173:52:48|2|Collins teasing Al Bean
174:13:09|2|Green team on shift
174:17:37|2|McCandless asked about unidentified noise from previous day
174:24:07|1|Apollo 11 crosses half-way point to Earth
174:30:13|2|Ground conversation about chipping in for flags for the capcoms
174:42:26|2|Collins teasing Dave Reed
174:44:05|2|Collins bantering about being forced to sit at the MOCR console
177:31:16|2|Video: TV broadcast starts
177:32:24|2|Armstrong talks about Jules Verne
177:34:38|2|Collins give speech about the trip to the Moon
177:38:20|2|Buzz gives philosophical speech
177:41:42|2|Armstrong gives speech thanking all who contributed
178:24:39|2|White team starts shift
181:42:06|2|Targeted landing spot changed to account for weather
182:03:47|2|White team says goodbye
182:08:16|1|Crew Sleep Period Start
182:07:29|2|McDonald observatory sees Apollo 11 in their telescope
189:00:00|2|Maroon team starts shift
189:28:36|1|Crew wake-up
190:23:58|2|Air Canada accepts lunar reservations
193:02:28|2|Lovell teases crew
195:03:01|1|Re-entring Earth's Atmosphere
195:18:18|1|Splashdown and recovery
197:22:37|2|Conversation with the President
